iter	TotalF1:average=Macro	MultiClass
383	0.8579698465	0.4466555818
384	0.8583210248	0.4462834872
385	0.8585138271	0.4457754262
386	0.8578544462	0.4452203797
387	0.8582000458	0.4445743686
388	0.8588859164	0.444095144
389	0.8589147046	0.4435793098
390	0.8592426608	0.443211342
391	0.859063643	0.4427450587
392	0.8595742564	0.442219929
393	0.8598851726	0.4414118439
394	0.8601002622	0.4408498765
395	0.8594318343	0.440323767
396	0.8599261985	0.4397934267
397	0.8603924596	0.4393551616
398	0.8603771016	0.4390143378
399	0.8605606616	0.4385147224
400	0.8607340446	0.4378631936
401	0.8609172433	0.4375009876
402	0.8606201223	0.437077985
403	0.8607466423	0.4366248747
404	0.8608760076	0.436152854
405	0.8607293178	0.4357194969
406	0.8604104023	0.435331252
407	0.8610501205	0.4348350265
408	0.8605781084	0.4344332421
409	0.8610770654	0.4340545819
410	0.8607354861	0.4336920574
411	0.8608926333	0.4333171057
412	0.8612099894	0.4327289669
413	0.8616688472	0.4321419212
414	0.8618459709	0.4316709423
415	0.8618203777	0.4311083817
416	0.8616487015	0.4307179546
417	0.8614805655	0.4302945736
418	0.8618119231	0.4299071507
419	0.8617000494	0.4292990895
420	0.8621415133	0.4288858288
421	0.862825519	0.4284722278
422	0.8625082137	0.4281714809
423	0.8636141547	0.427638795
424	0.8639498461	0.4272802863
425	0.8644589005	0.4268602529
426	0.8646321749	0.4264736226
427	0.8644540999	0.4259900128
428	0.8649672903	0.425437542
429	0.8652680763	0.4251114355
430	0.8651298368	0.4248701178
431	0.8653095591	0.4245159578
432	0.8645540882	0.423977065
433	0.8643450439	0.4234530634
434	0.8649942733	0.423147235
435	0.8649948895	0.422706009
436	0.8654831786	0.422391917
437	0.8657614144	0.4221225738
438	0.865922949	0.4216236397
439	0.8657612443	0.4210502913
440	0.8666352098	0.4206452185
441	0.8666498559	0.4201186477
442	0.8672717218	0.4196681453
443	0.866965965	0.4194435114
444	0.8671243583	0.4188954545
445	0.8677792867	0.4186424618
446	0.8679475396	0.4182339633
447	0.8679475396	0.4179454214
448	0.8679821323	0.4175475579
449	0.8684837118	0.417285583
450	0.8677925603	0.4170295433
451	0.86866429	0.416694232
452	0.8688110624	0.4163658444
453	0.8688214924	0.4160152956
454	0.8688214924	0.4157357077
455	0.8690872126	0.4152590158
456	0.8693106154	0.4151045296
457	0.8698905046	0.4146638033
458	0.869876686	0.4143896942
459	0.8692109349	0.4141345996
460	0.869040201	0.413885221
461	0.8698467921	0.4132737219
462	0.8699813396	0.4129473293
463	0.8701519985	0.4125781516
464	0.8701741287	0.4122958881
465	0.870672746	0.4119762819
466	0.8701987522	0.4116215315
467	0.870046478	0.4113085138
468	0.8707181123	0.4109137465
469	0.8705387908	0.410536804
470	0.8701903713	0.4102452314
471	0.870361401	0.4097817622
472	0.8705375467	0.4094658939
473	0.8705341075	0.4091950726
474	0.870708066	0.4088593814
475	0.8702088767	0.4084053877
476	0.8705273188	0.4080695991
477	0.8708657844	0.4076819292
478	0.871341138	0.4072983708
479	0.8716775915	0.4070227661
480	0.872525614	0.4067119378
481	0.8725501564	0.4062901011
482	0.872888633	0.40583233
483	0.8730383686	0.4055147832
484	0.8733471876	0.4051846437
485	0.8733126613	0.4049319583
486	0.8736528884	0.4046425893
487	0.8743325991	0.4042725528
488	0.8744798933	0.403920432
489	0.8741300895	0.4035765456
490	0.8743002221	0.4032153753
491	0.8741636696	0.4028583882
492	0.8739837344	0.402632676
493	0.8739878286	0.4023023208
494	0.8738148786	0.4020175672
495	0.8741821112	0.4016380421
496	0.8743625329	0.4013583086
497	0.874509439	0.4010261874
498	0.874325359	0.4006431254
499	0.8751606223	0.4001883555
500	0.8751606223	0.399895077
501	0.8756349582	0.399573455
502	0.8756521291	0.3993106605
503	0.8754817199	0.3988715469
504	0.875336262	0.3985075845
505	0.8758206735	0.3981997423
506	0.8756542247	0.3979282463
507	0.8757935125	0.3976628622
508	0.876462557	0.3972589219
509	0.8769472316	0.3968434639
510	0.8772703924	0.3965094745
511	0.8774291262	0.3962133731
512	0.8774291262	0.3958717901
513	0.8773988166	0.3956105606
514	0.8774323245	0.3952970316
515	0.8774298899	0.3948395586
516	0.877428522	0.3943889677
517	0.8775723619	0.3940648788
518	0.8779120166	0.3937030901
519	0.8777353707	0.3932404845
520	0.8782317099	0.392913075
521	0.8782558207	0.3925552693
522	0.8787545308	0.3922335292
523	0.878745897	0.3918801496
524	0.8795739523	0.3916196527
525	0.8789142537	0.39123202
526	0.8789193704	0.3908844641
527	0.8793975257	0.3904751217
528	0.8792273396	0.3902296516
529	0.8792587258	0.3899776392
530	0.8792481498	0.3897040329
531	0.8799280528	0.3893387861
532	0.8800653271	0.3891230783
533	0.880200794	0.388877867
534	0.8803709353	0.3886786462
535	0.8802340537	0.3883425312
536	0.880256401	0.3879707543
537	0.8807329564	0.3877051286
538	0.8805998708	0.3874210688
539	0.8807585237	0.3871091479
540	0.8804298092	0.3868768202
541	0.8807482222	0.3865638934
542	0.8807482222	0.3862667932
543	0.8807372689	0.3859471331
544	0.8809068804	0.3857168567
545	0.8810764731	0.3854655089
546	0.8812477914	0.3852621572
547	0.8810527238	0.384908058
548	0.8813716496	0.3845919524
549	0.8815145441	0.3843013093
550	0.8827093676	0.3840255572
